,dataCode,ordinal,ordering,reassignments,default_value,default_related_field,ValueType,tree,num_fields,number_values
373,100510,-1,,,NA,NA,Categorical multiple,FALSE,2,6
374,100511,0,,,NA,NA,Categorical single,FALSE,2,6
375,100514,-1,,,NA,NA,Categorical multiple,FALSE,2,9
376,100515,0,,,NA,NA,Categorical single,FALSE,2,3
377,100523,-1,,,NA,NA,Categorical multiple,FALSE,2,9
378,100536,0,,5=-2,NA,NA,Categorical single,FALSE,2,7
379,100538,-1,,,NA,NA,Categorical multiple,FALSE,2,8
380,100539,0,,,NA,NA,Categorical single,FALSE,2,4
381,100540,0,3|0|2,,NA,NA,Categorical single,FALSE,2,5
382,100549,0,,,NA,NA,Categorical single,FALSE,2,5
383,100550,0,,,NA,NA,Categorical single,FALSE,2,4
384,100552,0,,,NA,NA,Categorical single,FALSE,2,6
385,100553,-1,,,NA,NA,Categorical multiple,FALSE,2,10
386,100563,0,,,NA,NA,Categorical single,FALSE,2,4
387,100564,0,,,NA,NA,Categorical single,FALSE,2,4
388,100570,0,,,NA,NA,Categorical single,FALSE,2,5
389,100572,0,,-3=NA|-1=NA,NA,NA,Categorical single,FALSE,2,6
390,100579,0,,2=-1|3=-2,NA,NA,Categorical single,FALSE,2,5
391,100599,0,,,NA,NA,Categorical single,FALSE,2,4
392,100603,0,,-3=NA|-1=NA,NA,NA,Categorical single,FALSE,2,4
393,100605,-1,,-7=NA|-3=NA,NA,NA,Categorical multiple,FALSE,2,6
394,100610,-1,,,NA,NA,Categorical multiple,FALSE,2,7
395,100617,0,,,NA,NA,Categorical single,FALSE,2,5
396,100622,-1,,,NA,NA,Categorical multiple,FALSE,2,9
397,100625,-1,,,NA,NA,Categorical multiple,FALSE,2,6
398,100626,-1,,,NA,NA,Categorical multiple,FALSE,2,8
399,100628,-1,,,NA,NA,Categorical multiple,FALSE,2,9
400,100629,-1,,,NA,NA,Categorical multiple,FALSE,2,9
401,100630,-1,,,NA,NA,Categorical multiple,FALSE,2,8
402,100631,0,,,NA,NA,Categorical single,FALSE,2,5
403,100635,0,,,NA,NA,Categorical single,FALSE,2,7
404,100636,0,,,NA,NA,Categorical single,FALSE,2,6
405,100637,0,0|13|12|11,,NA,NA,Categorical single,FALSE,2,6
406,100639,0,,,NA,NA,Categorical single,FALSE,2,4
407,100640,0,,,NA,NA,Categorical single,FALSE,2,4
408,100641,0,,,NA,NA,Categorical single,FALSE,2,2
409,100642,0,,,NA,NA,Categorical single,FALSE,2,2
410,100643,0,,,NA,NA,Categorical single,FALSE,2,7
411,100644,0,,,NA,NA,Categorical single,FALSE,2,7
412,100645,0,,,NA,NA,Categorical single,FALSE,2,7
413,100646,0,,,NA,NA,Categorical single,FALSE,2,6
414,100647,0,,,NA,NA,Categorical single,FALSE,2,7
415,100648,0,,,NA,NA,Categorical single,FALSE,2,7
416,100649,0,,,NA,NA,Categorical single,FALSE,2,7
417,100650,0,,,NA,NA,Categorical single,FALSE,2,7
418,100651,0,,,NA,NA,Categorical single,FALSE,2,7
419,100652,0,,,NA,NA,Categorical single,FALSE,2,7
420,100653,0,,,NA,NA,Categorical single,FALSE,2,7
421,100654,0,,,NA,NA,Categorical single,FALSE,2,8
422,100655,0,,,NA,NA,Categorical single,FALSE,2,6
423,100656,-1,,,NA,NA,Categorical multiple,FALSE,2,6
424,100657,0,,,NA,NA,Categorical single,FALSE,2,7
425,100658,-1,,,NA,NA,Categorical multiple,FALSE,2,7
426,100659,0,,,NA,NA,Categorical single,FALSE,2,7
427,100662,0,,7=6,NA,NA,Categorical single,FALSE,2,8
428,100663,0,,,NA,NA,Categorical single,FALSE,2,6
429,100664,0,1|0|2,,NA,NA,Categorical single,FALSE,2,6
430,100668,0,,,NA,NA,Categorical single,FALSE,2,3
431,100669,0,,,NA,NA,Categorical single,FALSE,2,5
432,100672,-1,,,NA,NA,Categorical multiple,FALSE,2,6
433,100673,0,,,NA,NA,Categorical single,FALSE,2,8
434,100674,0,,,NA,NA,Categorical single,FALSE,2,7
435,100683,-1,,,NA,NA,Categorical multiple,FALSE,2,9
436,100685,-1,,,NA,NA,Categorical multiple,FALSE,2,6
437,100686,0,,,NA,NA,Categorical single,FALSE,2,8
438,100688,-1,,,NA,NA,Categorical multiple,FALSE,2,8
439,100689,-1,,,NA,NA,Categorical multiple,FALSE,2,7
440,100690,-1,,,NA,NA,Categorical multiple,FALSE,2,8
441,100691,-1,,,NA,NA,Categorical multiple,FALSE,2,8
442,100692,-1,,,NA,NA,Categorical multiple,FALSE,2,8
443,100693,0,,,NA,NA,Categorical single,FALSE,2,3
444,100694,0,,,NA,NA,Categorical single,FALSE,2,2
445,100695,0,,,NA,NA,Categorical single,FALSE,2,6
446,100699,0,,,NA,NA,Categorical single,FALSE,2,2
447,100700,0,,,NA,NA,Categorical single,FALSE,2,3
